"rank","lemma","translit","pos","gloss_en","combined_zipf","subs_fpm","forum_fpm","subs_zipf","forum_zipf","doc_dispersion_subs","doc_dispersion_forum","register_skew","is_proper","forms_collapsed"
"1","და","da","conj","and, sister","7.497","22979.33","42873.11","7.361","7.632","0.9412","0.8596","0","0","და,დაა,დააა,დაც,დაააა,დდა,დააააა"
"2","ყოფნა","q'opna","verb","to be, to exist","7.454","36525.48","22134.81","7.563","7.345","0.9412","0.7366","0","0","არის,იყო,ვარ,იქნება,იყოს,არაა,ხარ,არიან"
"3","არ","ar","particle","not, no","7.344","25338.10","19279.83","7.404","7.285","0.9412","0.7177","0","0","არ,აარ,იარ,სრ,არრ"
"4","ეს","es","pron","this","7.298","25226.48","15623.71","7.402","7.194","0.9412","0.6659","0","0","ეს,ამ,ამას,ამის,ამაზე,ესეც,ამით,ესენი"
"5","რომ","rom","conj","that, if","7.237","17469.35","17055.14","7.242","7.232","0.9412","0.6727","0","0","რომ,რო,როა,რომაა,ომ,როო,რონ,რომე"
"6","ის","is","pron","he, she, it, that","7.185","23131.87","10155.21","7.364","7.007","0.9412","0.5145","0","0","ის,იმ,მას,მათ,იმის,იმას,ისინი,მათი"
"7","რა","ra","pron","what","7.120","15683.54","11098.07","7.195","7.045","0.9265","0.6514","0","0","რა,რას,რისი,რის,რაში,რისთვის,რაზე,რითი"
"8","მე","me","pron","I, me","7.116","22886.32","7466.88","7.360","6.873","0.9265","0.5060","0","0","მე,მეც,ჩემთვის,ჩემთან,ჩემზე,ჩემმა,ჩემით,ჩემგან"
"9","მაქვს","makvs","verb","I have","6.944","7249.29","10671.09","6.860","7.028","0.9412","0.6326","0","0","აქვს,მაქვს,აქვთ,გაქვს,მქონდა,გაქვთ,მაქ,გვაქვს"
"10","უნდა","unda","particle","must, should, to have to","6.868","8454.71","6438.59","6.927","6.809","0.9412","0.4991","0","0","უნდა,უდნა,უნდ,არუნდა,უნდაო,უდა,ნდა,უნა"
